timestamp,voltage,temperature,rule_anomaly,ml_anomaly,final_anomaly
1970-01-01 00:00:00.000000061,28,9,1,0,1
1970-01-01 00:00:00.000000061,26,8,1,0,1
1970-01-01 00:00:00.000000061,21,7,1,0,1
1970-01-01 00:00:00.000000061,17,8,1,0,1
1970-01-01 00:00:00.000000061,32,9,1,0,1
1970-01-01 00:00:00.000000061,24,8,1,0,1
1970-01-01 00:00:00.000000061,23,7,1,0,1
1970-01-01 00:00:00.000000061,22,8,1,0,1
1970-01-01 00:00:00.000000061,25,10,1,0,1
1970-01-01 00:00:00.000000061,28,8,1,0,1
1970-01-01 00:00:00.000000061,30,9,1,0,1
1970-01-01 00:00:00.000000061,25,9,1,0,1
1970-01-01 00:00:00.000000061,20,8,1,0,1
1970-01-01 00:00:00.000000061,40,7,1,0,1
1970-01-01 00:00:00.000000061,40,8,1,0,1
1970-01-01 00:00:00.000000061,20,7,1,0,1
1970-01-01 00:00:00.000000061,32,9,1,0,1
1970-01-01 00:00:00.000000061,34,9,1,0,1
1970-01-01 00:00:00.000000061,31,7,1,0,1
1970-01-01 00:00:00.000000061,25,7,1,0,1
1970-01-01 00:00:00.000000061,26,7,1,0,1
1970-01-01 00:00:00.000000061,21,7,1,0,1
1970-01-01 00:00:00.000000061,24,7,1,0,1
1970-01-01 00:00:00.000000061,32,9,1,0,1
1970-01-01 00:00:00.000000061,16,8,1,0,1
1970-01-01 00:00:00.000000061,26,9,1,0,1
1970-01-01 00:00:00.000000061,19,8,1,0,1
1970-01-01 00:00:00.000000061,22,7,1,0,1
1970-01-01 00:00:00.000000061,34,9,1,0,1
1970-01-01 00:00:00.000000061,32,7,1,0,1
1970-01-01 00:00:00.000000061,29,7,1,0,1
1970-01-01 00:00:00.000000061,20,8,1,0,1
1970-01-01 00:00:00.000000061,17,7,1,0,1
1970-01-01 00:00:00.000000061,19,8,1,0,1
1970-01-01 00:00:00.000000061,21,9,1,0,1
1970-01-01 00:00:00.000000061,26,8,1,0,1
1970-01-01 00:00:00.000000061,23,7,1,0,1
1970-01-01 00:00:00.000000061,21,8,1,0,1
1970-01-01 00:00:00.000000061,30,8,1,0,1
1970-01-01 00:00:00.000000061,23,9,1,0,1
1970-01-01 00:00:00.000000061,30,10,1,0,1
1970-01-01 00:00:00.000000061,27,8,1,0,1
1970-01-01 00:00:00.000000061,16,7,1,0,1
1970-01-01 00:00:00.000000061,24,10,1,0,1
1970-01-01 00:00:00.000000061,29,9,1,0,1
1970-01-01 00:00:00.000000061,20,8,1,0,1
1970-01-01 00:00:00.000000061,31,9,1,0,1
1970-01-01 00:00:00.000000061,20,7,1,0,1
1970-01-01 00:00:00.000000061,19,8,1,0,1
1970-01-01 00:00:00.000000061,22,8,1,0,1
1970-01-01 00:00:00.000000061,32,9,1,0,1
1970-01-01 00:00:00.000000062,31,7,1,0,1
1970-01-01 00:00:00.000000062,17,10,1,1,1
1970-01-01 00:00:00.000000062,26,7,1,0,1
1970-01-01 00:00:00.000000062,49,7,0,1,1
1970-01-01 00:00:00.000000062,24,9,1,0,1
1970-01-01 00:00:00.000000062,30,8,1,0,1
1970-01-01 00:00:00.000000062,16,8,1,0,1
1970-01-01 00:00:00.000000062,23,7,1,0,1
1970-01-01 00:00:00.000000062,22,8,1,0,1
1970-01-01 00:00:00.000000063,24,8,1,0,1
1970-01-01 00:00:00.000000098,24,1,1,1,1
